generator,baseline_acc,baseline_auc,baseline_real_acc,baseline_fake_acc,jpeg-q95_acc,jpeg-q95_auc,jpeg-q95_real_acc,jpeg-q95_fake_acc,jpeg-q95_delta_acc,png_acc,png_auc,png_real_acc,png_fake_acc,png_delta_acc,res128_acc,res128_auc,res128_real_acc,res128_fake_acc,res128_delta_acc,independent_real_acc,independent_real_auc,independent_real_real_acc,independent_real_fake_acc,independent_real_delta_acc
ADM,0.999,1.0,0.998,1.0,0.859,0.98916,0.997,0.721,-0.14,0.999,1.0,0.998,1.0,0.0,0.559,0.740016,0.118,1.0,-0.43999999999999995,,,,,
BigGAN,0.998,1.0,0.996,1.0,0.8045,0.9876339999999999,0.994,0.615,-0.1935,0.998,1.0,0.996,1.0,0.0,0.57,0.7102089999999999,0.14,1.0,-0.42800000000000005,,,,,
GLIDE,0.998,1.0,0.996,1.0,0.8745,0.9954759999999999,0.995,0.754,-0.12349999999999994,0.998,1.0,0.996,1.0,0.0,0.5405,0.9466794999999999,0.081,1.0,-0.4575,0.999,0.999999,0.998,1.0,0.0010000000000000009
Midjourney,0.997,0.999366,0.998,0.996,0.9525,0.9956079999999999,0.998,0.907,-0.044499999999999984,0.997,0.999366,0.998,0.996,0.0,0.5645,0.7722345,0.13,0.999,-0.4325,,,,,
Stable_Diffusion_v1.4,0.9985,0.999997,0.997,1.0,0.9435,0.988406,0.996,0.891,-0.05500000000000005,0.9985,0.999997,0.997,1.0,0.0,0.5425,0.6688440000000001,0.085,1.0,-0.45600000000000007,,,,,
VQDM,0.9975,0.999987,0.996,0.999,0.8935,0.991042,0.995,0.792,-0.10400000000000009,0.9975,0.999987,0.996,0.999,0.0,0.5405,0.873764,0.081,1.0,-0.4570000000000001,0.9985,0.999991,0.998,0.999,0.0010000000000000009
Wukong,0.9945,0.999857,0.996,0.993,0.9435,0.994499,0.995,0.892,-0.051000000000000045,0.9945,0.999857,0.996,0.993,0.0,0.5405,0.6784410000000001,0.081,1.0,-0.45400000000000007,0.996,0.9999199999999999,0.999,0.993,0.0014999999999999458
