step,zeroed_so_far,remaining_concepts,overall_acc
0,none,6,0.9980714285714286
1,freq_radial,5,0.7507857142857143
2,"freq_radial, texture_geometry",4,0.9890714285714286
3,"freq_radial, texture_geometry, jpeg_quant",3,0.5007142857142857
4,"freq_radial, texture_geometry, jpeg_quant, bitplane_lsb",2,0.5472142857142858
5,"freq_radial, texture_geometry, jpeg_quant, bitplane_lsb, color_manifold",1,0.45471428571428574
6,"freq_radial, texture_geometry, jpeg_quant, bitplane_lsb, color_manifold, hf_noise",0,0.5
