only_concept,generator,acc,auc
bitplane_lsb,ADM,0.94,0.945919
bitplane_lsb,BigGAN,0.937,0.942797
bitplane_lsb,GLIDE,0.9515,0.981607
bitplane_lsb,Midjourney,0.9495,0.963244
bitplane_lsb,Stable_Diffusion_v1.4,0.956,0.9574054999999999
bitplane_lsb,VQDM,0.946,0.947932
bitplane_lsb,Wukong,0.956,0.9596560000000001
freq_radial,ADM,0.5975,0.9950410000000001
freq_radial,BigGAN,0.5815,0.99941
freq_radial,GLIDE,0.5955,0.999293
freq_radial,Midjourney,0.5865,0.9828680000000001
freq_radial,Stable_Diffusion_v1.4,0.593,0.996642
freq_radial,VQDM,0.5955,0.998043
freq_radial,Wukong,0.5955,0.992552
color_manifold,ADM,0.8345,0.859936
color_manifold,BigGAN,0.817,0.865502
color_manifold,GLIDE,0.864,0.9692459999999999
color_manifold,Midjourney,0.831,0.8534360000000001
color_manifold,Stable_Diffusion_v1.4,0.8525,0.893396
color_manifold,VQDM,0.8675,0.961385
color_manifold,Wukong,0.8485,0.8808979999999998
hf_noise,ADM,0.419,0.5283009999999999
hf_noise,BigGAN,0.3675,0.447507
hf_noise,GLIDE,0.35,0.32098899999999997
hf_noise,Midjourney,0.456,0.607603
hf_noise,Stable_Diffusion_v1.4,0.5835,0.6891189999999999
hf_noise,VQDM,0.3815,0.44288900000000003
hf_noise,Wukong,0.6255,0.7269110000000001
jpeg_quant,ADM,0.5,0.9896880000000001
jpeg_quant,BigGAN,0.5,0.99952
jpeg_quant,GLIDE,0.5,0.999912
jpeg_quant,Midjourney,0.5,0.989968
jpeg_quant,Stable_Diffusion_v1.4,0.5,0.9636110000000001
jpeg_quant,VQDM,0.5,0.992346
jpeg_quant,Wukong,0.5,0.9745039999999999
texture_geometry,ADM,0.5,0.987395
texture_geometry,BigGAN,0.5,0.986404
texture_geometry,GLIDE,0.5,0.996496
texture_geometry,Midjourney,0.5,0.9872510000000001
texture_geometry,Stable_Diffusion_v1.4,0.5,0.972367
texture_geometry,VQDM,0.5,0.992071
texture_geometry,Wukong,0.5,0.947879
