generator,concept,n_correct_real,n_flipped_to_fake,flip_rate,mean_prob_before,mean_prob_after
ADM,bitplane_lsb,997,0,0.0,0.005189261399209499,0.023091422393918037
ADM,freq_radial,997,29,0.029087261785356068,0.005189261399209499,0.12777385115623474
ADM,color_manifold,997,1,0.0010030090270812437,0.005189261399209499,0.01127067394554615
ADM,hf_noise,997,0,0.0,0.005189261399209499,0.006415059790015221
ADM,jpeg_quant,997,14,0.014042126379137413,0.005189261399209499,0.10113932937383652
ADM,texture_geometry,997,9,0.009027081243731194,0.005189261399209499,0.05088812857866287
BigGAN,bitplane_lsb,998,0,0.0,0.00532704871147871,0.015999553725123405
BigGAN,freq_radial,998,137,0.1372745490981964,0.00532704871147871,0.253522664308548
BigGAN,color_manifold,998,2,0.002004008016032064,0.00532704871147871,0.012562467716634274
BigGAN,hf_noise,998,2,0.002004008016032064,0.00532704871147871,0.005776279605925083
BigGAN,jpeg_quant,998,26,0.026052104208416832,0.00532704871147871,0.13058029115200043
BigGAN,texture_geometry,998,9,0.009018036072144289,0.00532704871147871,0.04829633608460426
GLIDE,bitplane_lsb,998,25,0.025050100200400802,0.004411563742905855,0.185669407248497
GLIDE,freq_radial,998,34,0.03406813627254509,0.004411563742905855,0.12271358072757721
GLIDE,color_manifold,998,3,0.003006012024048096,0.004411563742905855,0.04168492183089256
GLIDE,hf_noise,998,0,0.0,0.004411563742905855,0.0036989341024309397
GLIDE,jpeg_quant,998,60,0.06012024048096192,0.004411563742905855,0.19299224019050598
GLIDE,texture_geometry,998,13,0.013026052104208416,0.004411563742905855,0.04592123255133629
Midjourney,bitplane_lsb,995,1,0.0010050251256281408,0.0071436138823628426,0.04746571555733681
Midjourney,freq_radial,995,13,0.01306532663316583,0.0071436138823628426,0.08242353796958923
Midjourney,color_manifold,995,0,0.0,0.0071436138823628426,0.0125050600618124
Midjourney,hf_noise,995,0,0.0,0.0071436138823628426,0.00918840616941452
Midjourney,jpeg_quant,995,7,0.007035175879396985,0.0071436138823628426,0.08999995142221451
Midjourney,texture_geometry,995,10,0.010050251256281407,0.0071436138823628426,0.05627153813838959
Stable_Diffusion_v1.4,bitplane_lsb,998,0,0.0,0.004305380396544933,0.01324001420289278
Stable_Diffusion_v1.4,freq_radial,998,21,0.021042084168336674,0.004305380396544933,0.09553967416286469
Stable_Diffusion_v1.4,color_manifold,998,0,0.0,0.004305380396544933,0.00977603904902935
Stable_Diffusion_v1.4,hf_noise,998,0,0.0,0.004305380396544933,0.009782026521861553
Stable_Diffusion_v1.4,jpeg_quant,998,4,0.004008016032064128,0.004305380396544933,0.049556173384189606
Stable_Diffusion_v1.4,texture_geometry,998,9,0.009018036072144289,0.004305380396544933,0.03871947526931763
VQDM,bitplane_lsb,998,0,0.0,0.004411559551954269,0.012197689153254032
VQDM,freq_radial,998,10,0.01002004008016032,0.004411559551954269,0.07612307369709015
VQDM,color_manifold,998,2,0.002004008016032064,0.004411559551954269,0.029704749584197998
VQDM,hf_noise,998,0,0.0,0.004411559551954269,0.004530796315521002
VQDM,jpeg_quant,998,25,0.025050100200400802,0.004411559551954269,0.12048229575157166
VQDM,texture_geometry,998,14,0.014028056112224449,0.004411559551954269,0.04946919530630112
Wukong,bitplane_lsb,998,0,0.0,0.004411563742905855,0.015538184903562069
Wukong,freq_radial,998,13,0.013026052104208416,0.004411563742905855,0.07958641648292542
Wukong,color_manifold,998,0,0.0,0.004411563742905855,0.008947150781750679
Wukong,hf_noise,998,0,0.0,0.004411563742905855,0.011491205543279648
Wukong,jpeg_quant,998,3,0.003006012024048096,0.004411563742905855,0.05264304205775261
Wukong,texture_geometry,998,9,0.009018036072144289,0.004411563742905855,0.03504880145192146
