zeroed_concept,generator,baseline_acc,new_acc,delta_acc,new_real_acc,new_fake_acc,new_auc
bitplane_lsb,ADM,0.9985,0.999,0.0004999999999999449,0.998,1.0,0.999466
bitplane_lsb,BigGAN,0.999,0.9995,0.000500000000000056,0.999,1.0,0.999993
bitplane_lsb,GLIDE,0.999,0.9995,0.000500000000000056,0.999,1.0,1.0
bitplane_lsb,Midjourney,0.996,0.9925,-0.0034999999999999476,0.998,0.987,0.998325
bitplane_lsb,Stable_Diffusion_v1.4,0.9985,0.9985,0.0,0.999,0.998,0.999995
bitplane_lsb,VQDM,0.999,0.998,-0.0010000000000000009,0.999,0.997,0.999993
bitplane_lsb,Wukong,0.9965,0.99,-0.006500000000000061,0.999,0.981,0.9998239999999999
freq_radial,ADM,0.9985,0.674,-0.3245,0.999,0.349,0.999298
freq_radial,BigGAN,0.999,0.6635,-0.3355,1.0,0.327,0.999788
freq_radial,GLIDE,0.999,0.935,-0.06399999999999995,0.999,0.871,0.999791
freq_radial,Midjourney,0.996,0.777,-0.21899999999999997,1.0,0.554,0.9991150000000001
freq_radial,Stable_Diffusion_v1.4,0.9985,0.6425,-0.3560000000000001,0.999,0.286,0.999065
freq_radial,VQDM,0.999,0.88,-0.119,0.999,0.761,0.999558
freq_radial,Wukong,0.9965,0.6835,-0.31300000000000006,0.999,0.368,0.998936
color_manifold,ADM,0.9985,0.999,0.0004999999999999449,0.998,1.0,0.999758
color_manifold,BigGAN,0.999,0.9995,0.000500000000000056,0.999,1.0,0.999986
color_manifold,GLIDE,0.999,0.9995,0.000500000000000056,0.999,1.0,0.999775
color_manifold,Midjourney,0.996,0.9925,-0.0034999999999999476,0.996,0.989,0.999067
color_manifold,Stable_Diffusion_v1.4,0.9985,0.998,-0.000500000000000056,0.999,0.997,0.999006
color_manifold,VQDM,0.999,0.9965,-0.0024999999999999467,0.999,0.994,0.999066
color_manifold,Wukong,0.9965,0.993,-0.0035000000000000586,0.999,0.987,0.998993
hf_noise,ADM,0.9985,0.999,0.0004999999999999449,0.998,1.0,0.999992
hf_noise,BigGAN,0.999,0.9995,0.000500000000000056,0.999,1.0,1.0
hf_noise,GLIDE,0.999,0.9995,0.000500000000000056,0.999,1.0,0.999926
hf_noise,Midjourney,0.996,0.995,-0.0010000000000000009,0.997,0.993,0.999178
hf_noise,Stable_Diffusion_v1.4,0.9985,0.994,-0.0045000000000000595,0.999,0.989,0.998619
hf_noise,VQDM,0.999,0.9995,0.000500000000000056,0.999,1.0,0.999528
hf_noise,Wukong,0.9965,0.9865,-0.010000000000000009,0.999,0.974,0.998674
jpeg_quant,ADM,0.9985,0.733,-0.26550000000000007,0.466,1.0,0.998524
jpeg_quant,BigGAN,0.999,0.7405,-0.25849999999999995,0.481,1.0,0.999159
jpeg_quant,GLIDE,0.999,0.741,-0.258,0.482,1.0,0.9996435
jpeg_quant,Midjourney,0.996,0.75,-0.246,0.5,1.0,0.9980264999999999
jpeg_quant,Stable_Diffusion_v1.4,0.9985,0.739,-0.25950000000000006,0.478,1.0,0.9990009999999999
jpeg_quant,VQDM,0.999,0.741,-0.258,0.482,1.0,0.9990445
jpeg_quant,Wukong,0.9965,0.741,-0.25550000000000006,0.482,1.0,0.9989219999999999
texture_geometry,ADM,0.9985,0.8985,-0.10000000000000009,0.797,1.0,0.998746
texture_geometry,BigGAN,0.999,0.905,-0.09399999999999997,0.81,1.0,0.999629
texture_geometry,GLIDE,0.999,0.9325,-0.0665,0.865,1.0,0.999781
texture_geometry,Midjourney,0.996,0.9045,-0.09150000000000003,0.81,0.999,0.9985809999999999
texture_geometry,Stable_Diffusion_v1.4,0.9985,0.9345,-0.06400000000000006,0.869,1.0,0.9989979999999999
texture_geometry,VQDM,0.999,0.9325,-0.0665,0.865,1.0,0.999092
texture_geometry,Wukong,0.9965,0.9325,-0.06400000000000006,0.865,1.0,0.9989279999999999
