source,seed,family,subset_size,channels,imputation,direction,generator,n,metric,value,baseline_acc,acc,delta_pp,effect_pp,auc,real_acc,fake_acc,protocol,claim_scope,notes
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,ADM,2000,accuracy,0.9995,0.999,0.9995,0.05,0.05,1.0,0.999,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,BigGAN,2000,accuracy,0.9995,0.998,0.9995,0.15,0.15,1.0,0.999,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,GLIDE,2000,accuracy,0.999,0.998,0.999,0.1,0.1,1.0,0.998,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,Midjourney,2000,accuracy,0.9965,0.997,0.9965,-0.05,-0.05,0.998325,0.998,0.995,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.9985,0.9985,0.9985,0.0,0.0,0.999998,0.998,0.999,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,VQDM,2000,accuracy,0.998,0.9975,0.998,0.05,0.05,0.99999,0.998,0.998,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,Wukong,2000,accuracy,0.991,0.9945,0.991,-0.35,-0.35,0.99988,0.998,0.984,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,__ALL__,14000,accuracy,0.997429,0.9975,0.997429,-0.007143,-0.007143,0.999745,0.998286,0.996571,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,ADM,2000,accuracy,0.5145,0.999,0.5145,-48.45,-48.45,0.923482,0.999,0.03,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,BigGAN,2000,accuracy,0.51,0.998,0.51,-48.8,-48.8,0.931192,0.998,0.022,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,GLIDE,2000,accuracy,0.71,0.998,0.71,-28.8,-28.8,0.977012,0.996,0.424,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,Midjourney,2000,accuracy,0.5425,0.997,0.5425,-45.45,-45.45,0.949469,0.997,0.088,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.498,0.9985,0.498,-50.05,-50.05,0.939886,0.996,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,VQDM,2000,accuracy,0.5,0.9975,0.5,-49.75,-49.75,0.934805,0.996,0.004,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,Wukong,2000,accuracy,0.498,0.9945,0.498,-49.65,-49.65,0.939566,0.996,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,__ALL__,14000,accuracy,0.539,0.9975,0.539,-45.85,-45.85,0.941994,0.996857,0.081143,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,ADM,2000,accuracy,0.784,0.999,0.784,-21.5,-21.5,0.999412,0.999,0.569,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,BigGAN,2000,accuracy,0.6955,0.998,0.6955,-30.25,-30.25,0.999997,1.0,0.391,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,GLIDE,2000,accuracy,0.956,0.998,0.956,-4.2,-4.2,0.999998,1.0,0.912,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,Midjourney,2000,accuracy,0.843,0.997,0.843,-15.4,-15.4,0.999414,1.0,0.686,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.7525,0.9985,0.7525,-24.6,-24.6,1.0,1.0,0.505,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,VQDM,2000,accuracy,0.947,0.9975,0.947,-5.05,-5.05,0.999979,1.0,0.894,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,Wukong,2000,accuracy,0.7975,0.9945,0.7975,-19.7,-19.7,0.999387,1.0,0.595,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,__ALL__,14000,accuracy,0.825071,0.9975,0.825071,-17.242857,-17.242857,0.999757,0.999857,0.650286,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,freq_radial,zero_elsewhere,,ADM,2000,accuracy,0.955,0.999,0.955,-4.4,-4.4,0.998337,0.995,0.915,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,freq_radial,zero_elsewhere,,BigGAN,2000,accuracy,0.9965,0.998,0.9965,-0.15,-0.15,0.999774,0.994,0.999,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,freq_radial,zero_elsewhere,,GLIDE,2000,accuracy,0.9405,0.998,0.9405,-5.75,-5.75,0.999778,0.999,0.882,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,freq_radial,zero_elsewhere,,Midjourney,2000,accuracy,0.899,0.997,0.899,-9.8,-9.8,0.99245,0.998,0.8,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,freq_radial,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.913,0.9985,0.913,-8.55,-8.55,0.995567,0.999,0.827,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,freq_radial,zero_elsewhere,,VQDM,2000,accuracy,0.822,0.9975,0.822,-17.55,-17.55,0.997431,0.999,0.645,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,freq_radial,zero_elsewhere,,Wukong,2000,accuracy,0.8165,0.9945,0.8165,-17.8,-17.8,0.988801,0.999,0.634,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,freq_radial,zero_elsewhere,,__ALL__,14000,accuracy,0.906071,0.9975,0.906071,-9.142857,-9.142857,0.995639,0.997571,0.814571,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,color_manifold,zero,,ADM,2000,accuracy,0.9995,0.999,0.9995,0.05,0.05,0.99999,0.999,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,color_manifold,zero,,BigGAN,2000,accuracy,0.9995,0.998,0.9995,0.15,0.15,1.0,0.999,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,color_manifold,zero,,GLIDE,2000,accuracy,0.9995,0.998,0.9995,0.15,0.15,1.0,0.999,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,color_manifold,zero,,Midjourney,2000,accuracy,0.9955,0.997,0.9955,-0.15,-0.15,0.999604,0.998,0.993,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,color_manifold,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.999,0.9985,0.999,0.05,0.05,0.999996,0.999,0.999,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,color_manifold,zero,,VQDM,2000,accuracy,0.9965,0.9975,0.9965,-0.1,-0.1,0.999983,0.999,0.994,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,color_manifold,zero,,Wukong,2000,accuracy,0.991,0.9945,0.991,-0.35,-0.35,0.999902,0.999,0.983,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,color_manifold,zero,,__ALL__,14000,accuracy,0.997214,0.9975,0.997214,-0.028571,-0.028571,0.999925,0.998857,0.995571,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,color_manifold,zero_elsewhere,,ADM,2000,accuracy,0.5125,0.999,0.5125,-48.65,-48.65,0.862306,0.994,0.031,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,color_manifold,zero_elsewhere,,BigGAN,2000,accuracy,0.5265,0.998,0.5265,-47.15,-47.15,0.869387,0.997,0.056,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,color_manifold,zero_elsewhere,,GLIDE,2000,accuracy,0.7825,0.998,0.7825,-21.55,-21.55,0.973536,0.998,0.567,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,color_manifold,zero_elsewhere,,Midjourney,2000,accuracy,0.504,0.997,0.504,-49.3,-49.3,0.869281,0.999,0.009,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,color_manifold,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.5,0.9985,0.5,-49.85,-49.85,0.893774,0.998,0.002,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,color_manifold,zero_elsewhere,,VQDM,2000,accuracy,0.666,0.9975,0.666,-33.15,-33.15,0.96601,0.998,0.334,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,color_manifold,zero_elsewhere,,Wukong,2000,accuracy,0.4995,0.9945,0.4995,-49.5,-49.5,0.875725,0.998,0.001,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,color_manifold,zero_elsewhere,,__ALL__,14000,accuracy,0.570143,0.9975,0.570143,-42.735714,-42.735714,0.902429,0.997429,0.142857,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,hf_noise,zero,,ADM,2000,accuracy,0.9995,0.999,0.9995,0.05,0.05,1.0,0.999,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,hf_noise,zero,,BigGAN,2000,accuracy,0.999,0.998,0.999,0.1,0.1,1.0,0.998,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,hf_noise,zero,,GLIDE,2000,accuracy,0.9985,0.998,0.9985,0.05,0.05,1.0,0.997,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,hf_noise,zero,,Midjourney,2000,accuracy,0.997,0.997,0.997,0.0,0.0,0.999261,0.998,0.996,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,hf_noise,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.998,0.9985,0.998,-0.05,-0.05,0.999993,0.998,0.998,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,hf_noise,zero,,VQDM,2000,accuracy,0.998,0.9975,0.998,0.05,0.05,0.999994,0.997,0.999,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,hf_noise,zero,,Wukong,2000,accuracy,0.99,0.9945,0.99,-0.45,-0.45,0.999529,0.997,0.983,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,hf_noise,zero,,__ALL__,14000,accuracy,0.997143,0.9975,0.997143,-0.035714,-0.035714,0.999829,0.997714,0.996571,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,hf_noise,zero_elsewhere,,ADM,2000,accuracy,0.5,0.999,0.5,-49.9,-49.9,0.497489,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,hf_noise,zero_elsewhere,,BigGAN,2000,accuracy,0.5,0.998,0.5,-49.8,-49.8,0.428035,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,hf_noise,zero_elsewhere,,GLIDE,2000,accuracy,0.5,0.998,0.5,-49.8,-49.8,0.300117,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,hf_noise,zero_elsewhere,,Midjourney,2000,accuracy,0.5,0.997,0.5,-49.7,-49.7,0.59087,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,hf_noise,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.5,0.9985,0.5,-49.85,-49.85,0.668681,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,hf_noise,zero_elsewhere,,VQDM,2000,accuracy,0.5,0.9975,0.5,-49.75,-49.75,0.426698,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,hf_noise,zero_elsewhere,,Wukong,2000,accuracy,0.5,0.9945,0.5,-49.45,-49.45,0.701147,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,hf_noise,zero_elsewhere,,__ALL__,14000,accuracy,0.5,0.9975,0.5,-49.75,-49.75,0.514865,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,jpeg_quant,zero,,ADM,2000,accuracy,0.501,0.999,0.501,-49.8,-49.8,0.999146,0.002,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,jpeg_quant,zero,,BigGAN,2000,accuracy,0.501,0.998,0.501,-49.7,-49.7,0.998955,0.002,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,jpeg_quant,zero,,GLIDE,2000,accuracy,0.5025,0.998,0.5025,-49.55,-49.55,0.99981,0.005,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,jpeg_quant,zero,,Midjourney,2000,accuracy,0.5025,0.997,0.5025,-49.45,-49.45,0.998382,0.005,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,jpeg_quant,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.5025,0.9985,0.5025,-49.6,-49.6,0.999334,0.005,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,jpeg_quant,zero,,VQDM,2000,accuracy,0.5025,0.9975,0.5025,-49.5,-49.5,0.998979,0.005,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,jpeg_quant,zero,,Wukong,2000,accuracy,0.5025,0.9945,0.5025,-49.2,-49.2,0.998248,0.005,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,jpeg_quant,zero,,__ALL__,14000,accuracy,0.502071,0.9975,0.502071,-49.542857,-49.542857,0.998991,0.004143,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,jpeg_quant,zero_elsewhere,,ADM,2000,accuracy,0.5,0.999,0.5,-49.9,-49.9,0.998992,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,jpeg_quant,zero_elsewhere,,BigGAN,2000,accuracy,0.5,0.998,0.5,-49.8,-49.8,0.999954,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,jpeg_quant,zero_elsewhere,,GLIDE,2000,accuracy,0.5,0.998,0.5,-49.8,-49.8,0.999981,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,jpeg_quant,zero_elsewhere,,Midjourney,2000,accuracy,0.5,0.997,0.5,-49.7,-49.7,0.997581,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,jpeg_quant,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.5,0.9985,0.5,-49.85,-49.85,0.993066,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,jpeg_quant,zero_elsewhere,,VQDM,2000,accuracy,0.5,0.9975,0.5,-49.75,-49.75,0.998189,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,jpeg_quant,zero_elsewhere,,Wukong,2000,accuracy,0.5,0.9945,0.5,-49.45,-49.45,0.992946,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,jpeg_quant,zero_elsewhere,,__ALL__,14000,accuracy,0.5,0.9975,0.5,-49.75,-49.75,0.997314,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,texture_geometry,zero,,ADM,2000,accuracy,0.99,0.999,0.99,-0.9,-0.9,0.999967,0.999,0.981,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,texture_geometry,zero,,BigGAN,2000,accuracy,0.9995,0.998,0.9995,0.15,0.15,1.0,0.999,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,texture_geometry,zero,,GLIDE,2000,accuracy,0.9995,0.998,0.9995,0.15,0.15,1.0,0.999,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,texture_geometry,zero,,Midjourney,2000,accuracy,0.989,0.997,0.989,-0.8,-0.8,0.999228,1.0,0.978,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,texture_geometry,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.9725,0.9985,0.9725,-2.6,-2.6,0.999912,0.999,0.946,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,texture_geometry,zero,,VQDM,2000,accuracy,0.9845,0.9975,0.9845,-1.3,-1.3,0.999866,0.999,0.97,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,texture_geometry,zero,,Wukong,2000,accuracy,0.937,0.9945,0.937,-5.75,-5.75,0.999227,0.999,0.875,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,texture_geometry,zero,,__ALL__,14000,accuracy,0.981714,0.9975,0.981714,-1.578571,-1.578571,0.999751,0.999143,0.964286,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,texture_geometry,zero_elsewhere,,ADM,2000,accuracy,0.5215,0.999,0.5215,-47.75,-47.75,0.774791,0.986,0.057,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,texture_geometry,zero_elsewhere,,BigGAN,2000,accuracy,0.4955,0.998,0.4955,-50.25,-50.25,0.651346,0.989,0.002,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,texture_geometry,zero_elsewhere,,GLIDE,2000,accuracy,0.491,0.998,0.491,-50.7,-50.7,0.41386,0.982,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,texture_geometry,zero_elsewhere,,Midjourney,2000,accuracy,0.5095,0.997,0.5095,-48.75,-48.75,0.745517,0.983,0.036,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,texture_geometry,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.5585,0.9985,0.5585,-44.0,-44.0,0.82602,0.983,0.134,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,texture_geometry,zero_elsewhere,,VQDM,2000,accuracy,0.517,0.9975,0.517,-48.05,-48.05,0.63654,0.982,0.052,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,texture_geometry,zero_elsewhere,,Wukong,2000,accuracy,0.574,0.9945,0.574,-42.05,-42.05,0.855006,0.982,0.166,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,texture_geometry,zero_elsewhere,,__ALL__,14000,accuracy,0.523857,0.9975,0.523857,-47.364286,-47.364286,0.700693,0.983857,0.063857,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+freq_radial,zero,,ADM,2000,accuracy,0.5155,0.999,0.5155,-48.35,-48.35,0.999153,1.0,0.031,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+freq_radial,zero,,BigGAN,2000,accuracy,0.5275,0.998,0.5275,-47.05,-47.05,1.0,1.0,0.055,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+freq_radial,zero,,GLIDE,2000,accuracy,0.7785,0.998,0.7785,-21.95,-21.95,0.999998,1.0,0.557,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+freq_radial,zero,,Midjourney,2000,accuracy,0.508,0.997,0.508,-48.9,-48.9,0.998445,1.0,0.016,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+freq_radial,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.5145,0.9985,0.5145,-48.4,-48.4,0.999997,1.0,0.029,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+freq_radial,zero,,VQDM,2000,accuracy,0.7125,0.9975,0.7125,-28.5,-28.5,0.999985,1.0,0.425,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+freq_radial,zero,,Wukong,2000,accuracy,0.5145,0.9945,0.5145,-48.0,-48.0,0.99942,1.0,0.029,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+freq_radial,zero,,__ALL__,14000,accuracy,0.581571,0.9975,0.581571,-41.592857,-41.592857,0.9996,1.0,0.163143,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,2,bitplane_lsb+freq_radial,zero_elsewhere,,ADM,2000,accuracy,0.9715,0.999,0.9715,-2.75,-2.75,0.999489,0.943,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,2,bitplane_lsb+freq_radial,zero_elsewhere,,BigGAN,2000,accuracy,0.9755,0.998,0.9755,-2.25,-2.25,0.999613,0.951,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,2,bitplane_lsb+freq_radial,zero_elsewhere,,GLIDE,2000,accuracy,0.9825,0.998,0.9825,-1.55,-1.55,0.999729,0.965,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,2,bitplane_lsb+freq_radial,zero_elsewhere,,Midjourney,2000,accuracy,0.965,0.997,0.965,-3.2,-3.2,0.998362,0.931,0.999,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,2,bitplane_lsb+freq_radial,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.98,0.9985,0.98,-1.85,-1.85,0.996587,0.967,0.993,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,2,bitplane_lsb+freq_radial,zero_elsewhere,,VQDM,2000,accuracy,0.9815,0.9975,0.9815,-1.6,-1.6,0.994926,0.965,0.998,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,2,bitplane_lsb+freq_radial,zero_elsewhere,,Wukong,2000,accuracy,0.975,0.9945,0.975,-1.95,-1.95,0.993579,0.965,0.985,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,2,bitplane_lsb+freq_radial,zero_elsewhere,,__ALL__,14000,accuracy,0.975857,0.9975,0.975857,-2.164286,-2.164286,0.997148,0.955286,0.996429,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+color_manifold,zero,,ADM,2000,accuracy,0.9815,0.999,0.9815,-1.75,-1.75,0.999958,0.999,0.964,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+color_manifold,zero,,BigGAN,2000,accuracy,0.9995,0.998,0.9995,0.15,0.15,1.0,1.0,0.999,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+color_manifold,zero,,GLIDE,2000,accuracy,0.917,0.998,0.917,-8.1,-8.1,1.0,1.0,0.834,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+color_manifold,zero,,Midjourney,2000,accuracy,0.946,0.997,0.946,-5.1,-5.1,0.998562,1.0,0.892,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+color_manifold,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.98,0.9985,0.98,-1.85,-1.85,0.999998,1.0,0.96,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,2,bitplane_lsb+color_manifold,zero,,VQDM,2000,accuracy,0.889,0.9975,0.889,-10.85,-10.85,0.999987,1.0,0.778,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
